episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,average_psnr,epsilon
144,9813.340130737943,116194,4668,20194,4668,96000,0,38.2470864762007,0.11175151567904561
145,10153.050940124713,116060,4917,20060,4917,96000,0,38.485496810979264,0.11007524294385992
146,10585.443603808197,116295,4474,20295,4474,96000,0,38.17552770471641,0.10842411429970203
147,10381.026039883187,116179,4508,20179,4508,96000,0,38.303286606674575,0.1067977525852065
148,10329.168630066717,116296,4314,20296,4314,96000,0,38.33009899769139,0.10519578629642841
149,10164.768939492908,116122,4730,20122,4730,96000,0,38.25461689218252,0.10361784950198198
150,10820.6962552701,116626,4189,20626,4189,96000,0,38.438898903675415,0.10206358175945225
151,10519.596589480274,116601,4163,20601,4163,96000,0,38.057075722684054,0.10053262803306047
152,10449.864191879618,116976,3925,20976,3925,96000,0,38.320693399926384,0.09902463861256457
153,10222.615423666039,116627,4368,20627,4368,96000,0,38.40151808672723,0.09753926903337609
154,9881.030298927675,115538,5329,19538,5329,96000,0,38.04064351946979,0.09607617999787545
155,10360.73978012734,116404,4515,20404,4515,96000,0,38.258551566457356,0.09463503729790732
156,10282.773940753472,116179,4620,20179,4620,96000,0,38.2591987220698,0.0932155117384387
157,10472.579318745056,116320,4628,20320,4628,96000,0,38.20747882196976,0.09181727906236212
158,10704.44362192999,116402,4403,20402,4403,96000,0,38.40714312709237,0.09044001987642668
159,10662.493236706676,116459,4598,20459,4598,96000,0,38.40655430058567,0.08908341957828028
160,9966.518433537276,116247,4742,20247,4742,96000,0,38.32320919480349,0.08774716828460608
161,10645.875636876806,116813,4129,20813,4129,96000,0,38.28989023538263,0.08643096076033699
162,10559.658487799932,116001,4875,20001,4875,96000,0,38.30404072438567,0.08513449634893193
163,10216.774503869212,116215,4630,20215,4630,96000,0,38.196071204800695,0.08385747890369795
164,10518.104898514028,116868,4095,20868,4095,96000,0,38.26742497791385,0.08259961672014247
165,10576.385010585074,116164,4659,20164,4659,96000,0,38.259531985791,0.08136062246934034
166,10470.834705286936,116126,4659,20126,4659,96000,0,38.36904565589686,0.08014021313230023
167,10407.059119303856,116150,4756,20150,4756,96000,0,38.28971175622408,0.07893810993531572
168,10477.76586681054,116893,3683,20893,3683,96000,0,38.187957228837774,0.07775403828628598
169,10349.316217063762,116135,4693,20135,4693,96000,0,38.1252194115435,0.07658772771199168
170,11109.380404273064,116679,3896,20679,3896,96000,0,38.66506546256183,0.0754389117963118
171,10128.065350515806,116066,4578,20066,4578,96000,0,38.23250282023806,0.07430732811936713
172,10580.399040381484,116300,4354,20300,4354,96000,0,38.36195000964319,0.07319271819757663
173,10624.414765766709,116903,4002,20903,4002,96000,0,38.356704929844625,0.07209482742461297
174,9898.483323351853,116180,4663,20180,4663,96000,0,37.96657524896341,0.07101340501324377
175,10119.183006957699,116562,4429,20562,4429,96000,0,38.079514095999116,0.06994820393804511
176,10818.055479273346,116990,3911,20990,3911,96000,0,38.545501039624284,0.06889898087897443
177,10055.843674114756,115675,5160,19675,5160,96000,0,37.9785114339348,0.06786549616578981
178,10988.744270361982,116744,4239,20744,4239,96000,0,38.31037193806486,0.06684751372330296
179,10141.793732703818,116555,4317,20555,4317,96000,0,38.28892237612699,0.06584480101745341
180,10429.574886453436,116640,4185,20640,4185,96000,0,38.178270472323625,0.06485712900219161
181,10413.410187980899,116344,4429,20344,4429,96000,0,38.328337081888364,0.06388427206715873
182,10407.678582175702,116780,4250,20780,4250,96000,0,38.389357940798185,0.06292600798615135
183,10590.253489421404,116582,4205,20582,4205,96000,0,38.52400452993815,0.06198211786635908
184,10455.507988607693,116422,4464,20422,4464,96000,0,38.28274393434072,0.06105238609836369
185,10576.301162769216,116667,4151,20667,4151,96000,0,38.2640664007792,0.060136600306888235
186,10861.627899918427,116688,4347,20688,4347,96000,0,38.44574703359847,0.05923455130228491
187,10324.51699898861,116422,4391,20422,4391,96000,0,38.25938772389546,0.058346033032750634
188,10354.109863167672,116870,3847,20870,3847,96000,0,38.487943612348744,0.05747084253725938
189,10441.882206692913,116765,4102,20765,4102,96000,0,38.5351436270837,0.05660877989920048
190,10052.143824490093,116613,4304,20613,4304,96000,0,38.13231806305943,0.055759648200712476
191,10480.608474884573,116492,4259,20492,4259,96000,0,38.140121643242715,0.054923253477701786
192,10604.869495846491,116581,4280,20581,4280,96000,0,38.43285689161171,0.054099404675536256
193,10694.050706901191,116478,4245,20478,4245,96000,0,38.354346048681464,0.05328791360540321
194,10031.108920050365,116482,4346,20482,4346,96000,0,38.228747713527426,0.05248859490132216
195,10400.613239333483,116405,4495,20405,4495,96000,0,38.16616632605103,0.05170126597780233
196,10536.145582179814,116930,3878,20930,3878,96000,0,38.539537476415866,0.05092574698813529
197,11097.508718695419,116859,3868,20859,3868,96000,0,38.55076603485229,0.05016186078331326
198,10309.640904852256,116745,4126,20745,4126,96000,0,38.29250491076577,0.05
199,10534.041034887947,117013,3643,21013,3643,96000,0,38.338586126801,0.05
