episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,average_psnr,epsilon
190,10631.19803075934,117058,3840,21058,3840,96000,0,38.08233503171464,0.055759648200712476
191,10572.254152864567,116905,3988,20905,3988,96000,0,38.13575661449414,0.054923253477701786
192,10065.932724220087,116311,4579,20311,4579,96000,0,38.00666917660674,0.054099404675536256
193,9554.261385231765,116161,4632,20161,4632,96000,0,38.17012145776495,0.05328791360540321
194,9973.790431167808,116634,4212,20634,4212,96000,0,37.93024712189713,0.05248859490132216
195,9834.777636971052,116034,4729,20034,4729,96000,0,37.99752934268095,0.05170126597780233
196,10525.62108098192,116811,3978,20811,3978,96000,0,38.25847252960391,0.05092574698813529
197,9594.089075463851,116037,4802,20037,4802,96000,0,37.95656536445404,0.05016186078331326
198,10051.646672011846,116488,4279,20488,4279,96000,0,37.99090708072461,0.05
199,9409.96236824189,115908,4970,19908,4970,96000,0,37.82748026813996,0.05
